BPCY (r_4041 * r_1589);TargetFlux r_4041 with at least 0.0 of biomass (None);WYIELD biomass: r_4041 product: r_1589 ;;;solution;
0.0;0.0;0.0;;{'YOR278W': 2};;{'r_1083': (1.5728721210437183e-06, 10000)};
1.0195868526685747;0.2657428709193872;2.7006128206840305;;{'YGR256W': 2, 'YOL064C': 0, 'YDR111C': 0, 'YGL202W': 0, 'YFL055W': 0.03125, 'YOR226C': 0.25, 'YPR145W': 4, 'YNL316C': 32, 'YIR029W': 16, 'YLR157C': 16, 'Q0045': 0.5};;{'r_0032': (0, 0), 'r_1056': (0, 0), 'r_1063': 0, 'r_4226': 0, 'r_0851': 0, 'r_0211': (0.3618356739157229, 10000), 'r_0438': (0, 38.63722705361864), 'r_0889': (7.036802814294346, 10000), 'r_0938': (3.8111934797310707, 10000)};
0.3119340654702816;0.07742248104852602;3.7021185429292602;;{'YGR256W': 2, 'YDL198C': 0.0625, 'YLR359W': 0.5, 'YCL050C': 2, 'YDR497C': 0.25, 'YNL316C': 32, 'Q0045': 0.25, 'YPR145W': 16};;{'r_0151': (0, 0.08376934531786118), 'r_0152': (0, 0.09484195786964987), 'r_0211': (1.469947402640923, 10000), 'r_0438': (0, 19.307971581669833), 'r_0889': (7.068834785461117, 10000), 'r_0938': (3.8707169858806956, 10000), 'r_1026': (0.10382579193452601, 10000)};
0.47595507874568643;0.11886268590725863;3.61196810332161;;{'YGR256W': 2, 'YNL316C': 32, 'Q0045': 0.25};;{'r_0438': (0, 19.307971581669968), 'r_0889': (7.06883478546144, 10000), 'r_0938': (3.8707169858806947, 10000)};
0.6006474727174629;0.6913032741846811;0.2746512654928849;;{'YDL243C': 0, 'YNL274C': 4, 'YBR177C': 0.125, 'YNL104C': 0.03125, 'YNL101W': 16, 'YER037W': 0.5, 'YLR157C': 16, 'YMR006C': 32, 'YJR095W': 0.5, 'YPL104W': 0.125, 'YPR145W': 16, 'YBR041W': 0, 'YFL055W': 2, 'YGR256W': 4, 'YCL050C': 2, 'YNL316C': 8, 'YGL202W': 0.03125, 'YNL268W': 0.125, 'YKR097W': 32, 'YKR058W': 0, 'YMR246W': 0.25};;{'r_2216': 0, 'r_2217': 0, 'r_2214': 0, 'r_2213': 0, 'r_2215': 0, 'r_2218': 0, 'r_0025': (0, 0.008367372321156953), 'r_0211': (1.469947402640922, 10000), 'r_0851': (-0.0037799970565241137, 0), 'r_0889': (14.137669570922203, 10000), 'r_0938': (0.9676792464701731, 10000), 'r_1026': (0.10382579193452458, 10000), 'r_1063': (0, 0.002879459953836608), 'r_1265': (0, 0.04218031581676679)};
0.6006474727174629;0.6913032741846811;0.2746512654928849;;{'YDL243C': 0, 'YNL274C': 4, 'YBR177C': 0.125, 'YNL104C': 0.03125, 'YMR226C': 0.125, 'YNL101W': 16, 'YER037W': 0.5, 'YLR157C': 16, 'YMR006C': 32, 'YJR095W': 0.5, 'YPL104W': 0.125, 'YPR145W': 16, 'YBR041W': 0, 'YFL055W': 2, 'YGR256W': 4, 'YCL050C': 2, 'YNL316C': 8, 'YGL202W': 0.03125, 'YNL268W': 0.125, 'YKR058W': 0, 'YMR246W': 0.25};;{'r_2216': 0, 'r_2217': 0, 'r_2214': 0, 'r_2213': 0, 'r_2215': 0, 'r_2218': 0, 'r_0025': (0, 0.008367372321156969), 'r_0211': (1.4699474026409247, 10000), 'r_0851': (-0.0037799970565241207, 0), 'r_0889': (14.137669570923622, 10000), 'r_0938': (0.9676792464701749, 10000), 'r_1026': (0.10382579193452546, 10000), 'r_1063': (0, 0.002879459953836613), 'r_1265': (0, 0.042180315816766886)};
-0.0;0.7175979838533941;0.26176686840613356;;{'YGR256W': 4, 'YDR111C': 0, 'YJR095W': 0.5, 'YNL316C': 8, 'YOR226C': 0.25, 'YKR097W': 0, 'YBR115C': 16, 'YIR029W': 16, 'YDR268W': 2};;{'r_4226': 0, 'r_0884': (0, 0), 'r_0889': (14.137669570921673, 10000), 'r_0938': (0.9676792464701675, 10000), 'r_1265': (0, 0.042180315816766546)};
0.5452841583381902;0.27870579673465384;1.3333904315226373;;{'YPR145W': 32, 'YNL316C': 16, 'YGR256W': 4, 'Q0045': 0.5, 'YBR041W': 0};;{'r_2216': 0, 'r_2217': 0, 'r_2214': 0, 'r_2213': 0, 'r_2215': 0, 'r_2218': 0, 'r_0211': (2.939894805281822, 10000), 'r_0438': (0, 38.615943163339665), 'r_0889': (14.137669570922048, 10000), 'r_0938': (1.9353584929403318, 10000)};
0.5452841583381902;0.27870579673465384;1.3333904315226373;;{'YPR145W': 32, 'YNL316C': 16, 'YGR256W': 4, 'YBR145W': 0.0625, 'Q0045': 0.5};;{'r_0211': (2.93989480528185, 10000), 'r_0438': (0, 38.61594316333966), 'r_0889': (14.137669570922256, 10000), 'r_0938': (1.9353584929403502, 10000)};
0.2806415550839927;0.7605725742608842;0.15175070979827324;;{'YDR248C': 8, 'YEL017C-A': 4, 'YKR097W': 16, 'YLR157C': 16, 'YJR155W': 0.25, 'YMR162C': 0.5, 'YNL268W': 0.5, 'YBR041W': 0, 'YHR128W': 32, 'YGL142C': 0.125, 'YGR256W': 4, 'YGR244C': 16, 'YNL009W': 8, 'YBR115C': 16, 'YDR441C': 0.125, 'YJR095W': 2, 'YMR323W': 0.25, 'YNL316C': 4};;{'r_2216': 0, 'r_2217': 0, 'r_2214': 0, 'r_2213': 0, 'r_2215': 0, 'r_2218': 0, 'r_0889': (14.137669570920423, 10000), 'r_0938': (0.4838396232350844, 10000), 'r_1265': (0.16872126326706632, 10000)};
