BPCY (r_4041 * r_1589);TargetFlux r_4041 with at least 0.0 of biomass (None);WYIELD biomass: r_4041 product: r_1589 ;;;solution;
-0.0;0.3910241711601326;0.912601470127522;;{'YHL016C': 0, 'YMR105C': 0.125, 'YKL215C': 16, 'YDL205C': 0.5, 'YDR539W': 0.25, 'YKR097W': 16, 'YMR303C': 0, 'YEL039C': 0.125, 'YHR183W': 2, 'YBR006W': 0.5, 'YMR313C': 32, 'YJL137C': 0.5, 'YCR005C': 0.125, 'YPL148C': 0.03125, 'YNL101W': 32, 'YCL004W': 0};;{'r_0163': (0, 0), 'r_2536': (0, 0), 'r_2540': (0, 0), 'r_2538': (0, 0), 'r_1273': 0, 'r_2541': (0, 0), 'r_2539': (0, 0), 'r_2537': (0, 0), 'r_0557': (0, 3.9321803026093096e-07), 'r_0889': (7.068834785461087, 10000), 'r_1023': (0, 4.7186165419460424e-07)};
0.4479827540261041;0.11481987450430746;3.2924953526877156;;{'YPL028W': 0, 'YMR105C': 8, 'YNL316C': 32, 'YOR065W': 0.5};;{'r_0104': 0, 'r_0103': 0, 'r_0439': (0, 18.986940271260934), 'r_0888': (9.181854744965811, 10000), 'r_0938': (3.7702535738659093, 10000)};
0.39882045834722274;0.10205402920694052;3.550329184721231;;{'YPL028W': 0, 'YNL316C': 32, 'YMR105C': 8, 'YHR183W': 4, 'YOR065W': 0.5};;{'r_0104': 0, 'r_0103': 0, 'r_0439': (0, 18.986940271260924), 'r_0888': (9.181854744965936, 10000), 'r_0889': (12.85818119755319, 10000), 'r_0938': (3.7702535738659613, 10000)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YDR353W': 0.25, 'YHL016C': 0, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199116e-07), 'r_0938': (0.4712816967332403, 10000), 'r_1038': (0, 0.013450977407861286)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YHL016C': 0, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.915060813419909e-07), 'r_0938': (0.47128169673323966, 10000), 'r_1023': (0, 4.5961461263815613e-07)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YDR353W': 0.25, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199116e-07), 'r_0938': (0.4712816967332403, 10000), 'r_1023': (0, 4.5961461263815677e-07), 'r_1038': (0, 0.013450977407861303)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YDR353W': 0.25, 'YHL016C': 0, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199156e-07), 'r_0938': (0.4712816967332413, 10000), 'r_1023': (0, 4.5961461263815767e-07), 'r_1038': (0, 0.013450977407861307)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YDR353W': 0.25, 'YHL016C': 0, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199236e-07), 'r_0938': (0.4712816967332432, 10000), 'r_1023': (0, 4.596146126381596e-07), 'r_1038': (0, 0.013450977407861386)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YDR353W': 0.25, 'YHL016C': 0, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199185e-07), 'r_0938': (0.471281696733242, 10000), 'r_1023': (0, 4.596146126381584e-07), 'r_1038': (0, 0.013450977407861334)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YDR353W': 0.25, 'YHL016C': 0, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199143e-07), 'r_0938': (0.471281696733241, 10000), 'r_1023': (0, 4.596146126381574e-07), 'r_1038': (0, 0.013450977407861294)};
-0.0;0.18476089937073187;1.3058433948449533;;{'YBR006W': 0.5, 'YDR353W': 0.25, 'YHL016C': 0, 'YDL168W': 0.125, 'YDL205C': 0.25, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199146e-07), 'r_0938': (0.47128169673324105, 10000), 'r_1023': (0, 4.596146126381575e-07), 'r_1038': (0, 0.013450977407861303)};
-0.0;0.18476089937073276;1.3058433948449386;;{'YDL205C': 0.25, 'YPL028W': 0, 'YNL316C': 4};;{'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.915060813419914e-07), 'r_0938': (0.4712816967332409, 10000)};
-0.0;0.18476089937073334;1.3058433948449462;;{'YBR006W': 0.5, 'YDL205C': 0.25, 'YDL168W': 0.125, 'YHL016C': 0, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199087e-07), 'r_0938': (0.4712816967332396, 10000), 'r_1023': (0, 4.596146126381561e-07)};
-0.0;0.18476089937073334;1.3058433948449462;;{'YDL066W': 0.5, 'YBR006W': 0.5, 'YDL205C': 0.25, 'YHL016C': 0, 'YPL028W': 0, 'YMR303C': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199058e-07), 'r_0938': (0.4712816967332389, 10000), 'r_1023': (0, 4.5961461263815534e-07), 'r_2131': (0, 0.4610101327437224)};
-0.0;0.18476089937073334;1.3058433948449462;;{'YDL066W': 0.5, 'YBR006W': 0.5, 'YDL205C': 0.25, 'YDL168W': 0.125, 'YHL016C': 0, 'YPL028W': 0, 'YOR002W': 0.5, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199132e-07), 'r_0938': (0.4712816967332407, 10000), 'r_1023': (0, 4.5961461263815714e-07), 'r_2131': (0, 0.46101013274372415)};
-0.0;0.18476089937073334;1.3058433948449462;;{'YDL066W': 0.5, 'YBR006W': 0.5, 'YDL205C': 0.25, 'YDL168W': 0.125, 'YHL016C': 0, 'YPL028W': 0, 'YMR303C': 0, 'YJL196C': 2, 'YNL316C': 4, 'YHR039C-A': 0.0625};;{'r_1273': 0, 'r_0163': (0, 0), 'r_0104': 0, 'r_0103': 0, 'r_0557': (0, 1.9150608134199127e-07), 'r_0938': (0.47128169673324055, 10000), 'r_1023': (0, 4.5961461263815703e-07), 'r_2131': (0, 0.4610101327437238)};
