BPCY (r_4041 * r_1589);TargetFlux r_4041 with at least 0.0 of biomass (None);WYIELD biomass: r_4041 product: r_1589 ;;;solution;
0.0;0.0;0.0;;{'YBR166C': 0.25, 'YNL220W': 0.125, 'YIL043C': 0.03125, 'YOR155C': 0.5, 'YOL126C': 0, 'YGL065C': 4, 'YBR249C': 8, 'YDL004W': 0.25, 'YGL026C': 16, 'YJR095W': 32, 'YOR192C': 0.125, 'YNL141W': 16};;{'r_0714': 0, 'r_0020': (2.6153065645050235, 10000), 'r_0138': (0.0023641994990519777, 10000), 'r_0140': (1.7435575257995135, 10000), 'r_0153': (0, 0.10326130665028643), 'r_0226': (0, 12.61066578331717), 'r_0939': (0, 0.022779706972026973), 'r_1055': (1.8580702130620068, 10000), 'r_1265': (2.669542899565599, 10000)};
0.0;0.0;0.0;;{'YBR166C': 0.25, 'YNL220W': 0.125, 'YGL063W': 8, 'YIL043C': 0.03125, 'YOR155C': 0.5, 'YOL126C': 0, 'YGL065C': 4, 'YBR249C': 8, 'YDL004W': 0.25, 'YGL026C': 16, 'YJR095W': 32, 'YNL141W': 16};;{'r_0714': 0, 'r_0020': (2.6153065645050084, 10000), 'r_0138': (0.0023641994990521997, 10000), 'r_0140': (1.7435575257995055, 10000), 'r_0153': (0, 0.10326130665028356), 'r_0226': (0, 12.610665783317158), 'r_0939': (0, 0.02277970697202688), 'r_1055': (1.8580702130619902, 10000), 'r_1265': (2.6695428995655925, 10000)};
0.0;0.0;0.0;;{'YDR305C': 0.5, 'YGR208W': 0.25, 'YOL126C': 0, 'YJR095W': 8, 'YDL085W': 2, 'YGL065C': 8, 'YJR010W': 0, 'YNL220W': 0.25, 'YNL316C': 2, 'YPL262W': 2, 'YNL141W': 16};;{'r_1025': (0, 0), 'r_0714': 0, 'r_0138': (0.0023641994990597354, 10000), 'r_0153': (0, 0.2065226133005683), 'r_0451': (8.701888579192818, 10000), 'r_0452': (2.2706504051328746, 10000), 'r_0770': (26.566865593726988, 10000), 'r_0917': (0, 0.20222473072633101), 'r_0938': (0.23923159671108135, 10000), 'r_1265': (0.6673857248913988, 10000)};
0.0;0.0;0.0;;{'YDR305C': 0.5, 'YNL241C': 4, 'YGR208W': 0.25, 'YOL126C': 0, 'YDL085W': 2, 'YGL065C': 8, 'YJR010W': 0, 'YNL220W': 0.25, 'YNL316C': 2, 'YPL262W': 2, 'YNL141W': 16};;{'r_1025': (0, 0), 'r_0714': 0, 'r_0138': (0.002364199499059541, 10000), 'r_0153': (0, 0.20652261330056965), 'r_0451': (8.701888579192978, 10000), 'r_0452': (2.270650405132879, 10000), 'r_0466': (15.257600285464921, 10000), 'r_0770': (26.56686559372618, 10000), 'r_0917': (0, 0.20222473072633018), 'r_0938': (0.23923159671108185, 10000)};
0.0;0.0;0.0;;{'YDR305C': 0.5, 'YNL241C': 4, 'YGR208W': 0.25, 'YOL126C': 0, 'YJR095W': 8, 'YGL065C': 8, 'YJR010W': 0, 'YNL220W': 0.25, 'YNL316C': 2, 'YPL262W': 2, 'YNL141W': 16};;{'r_1025': (0, 0), 'r_0714': 0, 'r_0138': (0.0023641994990517556, 10000), 'r_0153': (0, 0.20652261330057098), 'r_0451': (8.701888579192541, 10000), 'r_0452': (2.270650405132873, 10000), 'r_0466': (15.257600285464893, 10000), 'r_0917': (0, 0.20222473072632674), 'r_0938': (0.23923159671108143, 10000), 'r_1265': (0.6673857248914087, 10000)};
0.0;0.0;0.0;;{'YDR305C': 0.5, 'YNL241C': 4, 'YGR208W': 0.25, 'YOL126C': 0, 'YJR095W': 8, 'YDL085W': 2, 'YGL065C': 8, 'YJR010W': 0, 'YNL220W': 0.25, 'YPL262W': 2, 'YNL141W': 16};;{'r_1025': (0, 0), 'r_0714': 0, 'r_0138': (0.0023641994990546422, 10000), 'r_0153': (0, 0.20652261330057348), 'r_0451': (8.701888579191817, 10000), 'r_0452': (2.270650405132871, 10000), 'r_0466': (15.257600285464864, 10000), 'r_0770': (26.566865593732018, 10000), 'r_0917': (0, 0.2022247307263224), 'r_1265': (0.667385724891397, 10000)};
0.0;0.0;0.0;;{'YGL065C': 0, 'Q0105': 16, 'YBR249C': 8, 'YJR095W': 32, 'YLR143W': 0.5, 'YNL141W': 32, 'YEL066W': 0.25, 'YNL220W': 0.125, 'YJR105W': 0.03125, 'YDL004W': 0.25, 'YMR296C': 8, 'YOL126C': 0};;{'r_4244': 0, 'r_0714': 0, 'r_4243': 0, 'r_0020': (2.615306564505012, 10000), 'r_0138': (0.004728398998111949, 10000), 'r_0142': (0, 0.0034053857925771657), 'r_0153': (0, 0.1032613066502859), 'r_0226': (0, 12.61066578331717), 'r_1265': (2.6695428995655983, 10000)};
0.0;0.0;0.0;;{'YBR166C': 0.25, 'YDL085W': 0.25, 'YGL065C': 0, 'YOR025W': 8, 'YBR249C': 8, 'YDR315C': 0, 'YLR143W': 0.5, 'YOR192C': 0.125, 'YNL141W': 32, 'YEL066W': 0.25, 'YNL220W': 0.125, 'YJR105W': 0.03125, 'YDL004W': 0.25, 'YGL026C': 16, 'YJR010W': 0, 'YMR296C': 8, 'YOL126C': 0};;{'r_4244': 0, 'r_4243': 0, 'r_0571': (0, 0), 'r_0714': 0, 'r_1025': (0, 0), 'r_0020': (2.6153065645050515, 10000), 'r_0138': (0.004728398998107508, 10000), 'r_0142': (0, 0.0034053857925771722), 'r_0153': (0, 0.10326130665028835), 'r_0226': (0, 12.61066578331717), 'r_0939': (0, 0.022779706972026966), 'r_1055': (1.8580702130620637, 10000)};
0.0;0.0;0.0;;{'YLL028W': 32, 'YBR252W': 0.25, 'YMR313C': 0.125, 'YNL220W': 0.125, 'YNL241C': 4, 'YGL248W': 2, 'YOR025W': 8, 'YBR249C': 8, 'YNL141W': 16, 'YLR143W': 0.5, 'YLR438W': 0.125, 'YOL126C': 0, 'YGL119W': 8};;{'r_0714': 0, 'r_0020': (2.6153065645050115, 10000), 'r_0138': (0.002364199499052491, 10000), 'r_0153': (0, 0.10326130665028484), 'r_0466': (15.257600285464907, 10000)};
0.0;0.0;0.0;;{'YLL028W': 32, 'YBR252W': 0.25, 'YMR313C': 0.125, 'YNL220W': 0.125, 'YPL258C': 0.125, 'YNL241C': 4, 'YOR025W': 8, 'YBR249C': 8, 'YNL141W': 16, 'YLR143W': 0.5, 'YLR438W': 0.125, 'YOL126C': 0, 'YGL119W': 8};;{'r_0714': 0, 'r_0020': (2.615306564504999, 10000), 'r_0138': (0.002364199499056585, 10000), 'r_0153': (0, 0.10326130665028452), 'r_0466': (15.257600285464823, 10000)};
