BPCY (r_4041 * r_1589);TargetFlux r_4041 with at least 0.0 of biomass (None);WYIELD biomass: r_4041 product: r_1589 ;;;solution;
-0.0;0.022495838469086454;0.0;;{'YOL126C': 0, 'YDL066W': 0, 'YOR278W': 0.03125, 'YER043C': 16};;{'r_2131': (0, 0), 'r_0714': 0, 'r_0144': (1.7377806186044318, 10000), 'r_1083': (0, 2.422251382450022e-08)};
-0.0;0.023171418665864654;0.0;;{'YGR248W': 4, 'YPL172C': 0.03125, 'YDR380W': 2, 'YDR039C': 0.5, 'YDR173C': 0.5};;{'r_0091': (14.1376695709222, 10000), 'r_0531': (0, 2.457612689130812e-08)};
-0.0;0.023171418665864654;0.0;;{'YGR248W': 4, 'YFL060C': 4, 'YPL172C': 0.03125, 'YDR039C': 0.5, 'YDR173C': 0.5};;{'r_0091': (14.137669570922055, 10000), 'r_0531': (0, 2.457612689130787e-08)};
-0.0;0.023171418665864654;0.0;;{'YGR248W': 4, 'YFL060C': 4, 'YPL172C': 0.03125, 'YDR380W': 2, 'YDR173C': 0.5};;{'r_0091': (14.137669570922194, 10000), 'r_0531': (0, 2.4576126891308102e-08)};
-0.0;0.18259905626188455;1.2914521741240266;;{'YFL001W': 0, 'YNL071W': 0, 'YDL066W': 0, 'YDR380W': 0.5, 'YGR043C': 2, 'YPL172C': 0.25, 'YER026C': 0.125, 'YDR294C': 16, 'YOL055C': 0};;{'r_0961': (0, 0), 'r_2131': (0, 0), 'r_0531': (0, 1.8927737711169328e-07), 'r_1048': (5.95570429546985, 10000), 'r_2446': (0, 0.0010413504708409928), 'r_2447': (0, 0.001214460498492841), 'r_2448': (0, 0.0007539341324245606), 'r_2450': (0, 0.0019428427741878499)};
-0.0;0.18907178908716307;1.2107881572332317;;{'YDL066W': 0, 'YPL172C': 0.25, 'YBR218C': 8, 'YER043C': 8};;{'r_2131': (0, 0), 'r_0144': (0.8786212068302086, 10000), 'r_0531': (0, 1.9595029753327712e-07), 'r_0958': (14.445576411966199, 10000)};
0.04611448332274058;0.02265122117743853;0.0;;{'YPL262W': 2, 'YFL001W': 0, 'YAL062W': 0.03125, 'YNL316C': 16, 'YDL066W': 0, 'YOR311C': 0, 'YBR018C': 0.0625, 'YBR229C': 0.0625, 'YOR278W': 0.03125, 'YPR160W': 32, 'YOL058W': 32, 'YMR318C': 16, 'YOL126C': 0, 'YER026C': 0.5};;{'r_2513': (0, 0), 'r_0714': 0, 'r_2518': (0, 0), 'r_2512': (0, 0), 'r_2516': (0, 0), 'r_2519': (0, 0), 'r_2517': (0, 0), 'r_2515': (0, 0), 'r_2131': (0, 0), 'r_2514': (0, 0), 'r_0208': (4.5785974971518515, 10000), 'r_0451': (7.8288642226926015, 10000), 'r_0452': (2.2631270877379137, 10000), 'r_0938': (1.9075116293931071, 10000), 'r_1083': (0, 2.4222513824499943e-08), 'r_2446': (0, 0.004264492935987483), 'r_2447': (0, 0.004973405555457212), 'r_2448': (0, 0.00308747810842954), 'r_2450': (0, 0.00795624481695127)};
0.04611448332274058;0.02265122117743853;0.0;;{'YPL262W': 2, 'YFL001W': 0, 'YAL062W': 0.03125, 'YNL316C': 16, 'YDR009W': 0.5, 'YDL066W': 0, 'YOR311C': 0, 'YBR018C': 0.0625, 'YBR229C': 0.0625, 'YOR278W': 0.03125, 'YPR160W': 32, 'YOL058W': 32, 'YOL126C': 0, 'YER026C': 0.5};;{'r_2513': (0, 0), 'r_0714': 0, 'r_2518': (0, 0), 'r_2512': (0, 0), 'r_2516': (0, 0), 'r_2519': (0, 0), 'r_2517': (0, 0), 'r_2515': (0, 0), 'r_2131': (0, 0), 'r_2514': (0, 0), 'r_0208': (4.57859749715192, 10000), 'r_0451': (7.828864222695913, 10000), 'r_0452': (2.2631270877379484, 10000), 'r_0938': (1.9075116293931356, 10000), 'r_1083': (0, 2.4222513824500304e-08), 'r_2446': (0, 0.004264492935987547), 'r_2447': (0, 0.004973405555457269), 'r_2448': (0, 0.0030874781084296163), 'r_2450': (0, 0.00795624481695139)};
